,id,response,true_score
240,13004,The mRNA finds and attaches to a ribosome. Then a tRNA moves in and connects its segments to the mRNA. Then once coded the tRNA leaves. The mRNA then goes to find another ribosome.,1
241,13005,RNA DNA,0
242,13006,the first step in protein synthesis is mRNA sends the new strands of DNA to the nucleus and then the process starts over again,0
243,13007,"The Messager RNA starts out and send it to tRNA transport RNA, which then sends where mRNA has told it to.",0
244,13008,Eubacteria prokaryotes cells eukaryotes,0
245,13009,The mRNA copy the instructions from the DNA and come out of the nuclear envelope pores and travel to the ribosomes. The ribosomes read the instructions and then they send it out to the body to create the amino acids they are supposed to create. Then they bring the amino acids back the  ribosomes where they are put together to make proteins.,2
246,13010,gives energy to the body helps fight viruses has all the information of the genes,0
247,13011,"after it leaves the mRNA, it goes to a peptide. There it is transcribed. Then it is sent to rRNA.",0
248,13012,"mRNA leaves the nuclease, goes through the cytoplasm, enters the rRNA and then they make the amino acids according the  copied DNA.",1
249,13013,when mRNA leaves the nucleus the process begins by interphase then prophase then metaphase then anaphase,0
250,13014,The mRNA is edited and the unwanted parts of the sequence are destroyed. Then translation occurs. The mRNA sequence is sent the  ribosome where rRNA is. The ribosome reads the mRNA by codons. The tRNA then brings an anticodon to attach to the mRNA. The chain of amino acids form a protein.,2
251,13015,"Step one would be mRNA leaving the nucleus and entering the ribosome. Step two would be when the tRNA with a protein on top and a codon on bottom come and they attach the anticodons with the mRNA's anticodons. Step three would be after the tRNA attaches to the anticodons and leaves, it leaves behind an amino acid. Step four would be after several tRNA's come and go, and the amino acid's join together forming a polypeptide chain, which later becomes a protein",2
252,13016,The mRNA delivers the message to tRNA. Then the tRNA changes it into proteins.,0
253,13017,interphase prophase anaphase telophase,0
254,13018,"Once the mRNA leaves the nucleus, it goes to a ribosome. At the ribosome, initiation occurs when a tRNA molecule with the anti-codon UAC binds to the codon AUG, coding for the amino acid Met and starting the synthesis of the protein. Next, elongation occurs as more tRNA molecules bind to codons and form peptide bonds in between the amino acids to build the protein. When the tRNA comes upon a Stop codon, the new protein breaks off in the process of termination and goes into the cell. Last, the ribosome completes the process by disassembly, getting ready for a new mRNA molecule.",3
255,13019,"mRNA goes and makes copies of itself. Then they give it to the amino acids, Then the amino acids get everything they need to make protein. Then they make protein.",0
256,13020,The four major steps involved in protein synthesis is that it sends messages to the nucleus .,0
257,13021,"One, RNA carries instructions from the nucleus to proteins. Two, The proteins carry it somewhere important. I don't know.",0
258,13022, get in the strand  have a corce  how to get there4 and infect there pray,0
259,13023,It has to pass through the cell wall and go to the nucleus,0
