,id,response,true_score
60,12822,they make them and then carry them out the body so no one can get hurt and then they make more proteins,0
61,12823,mRNA leaves the nucleus DNA is decoded the code is transferred to tRNA tRNA then does protein synthesis,0
62,12824, the sending of proteins to the Golgi apparatus  the transfer of information from the  nucleotides  the transferring of the protein  the absorption of the protein,0
63,12825,"It travels through the cytoplasm, latches into a ribosome, and then the ribosome is able to read the directions and produce the correct proteins.",1
64,12826,"transcription, translation,",0
65,12827,strands of DNA of molecule are held together by mRNA.,0
66,12828,The mRNA  is semi-permeable.,0
67,12829,"the nucleus, cytoplasm, ER, and polypeptides",0
68,12830,Replication makes a copy of the protein of the DNA. Transcript helps send the copies. Translation helps the DNA read the protein. Then the protein gets folded.,0
69,12831,"The mRNA leaves the nucleus, then translated  it is read , then is  transcript  so it can be used for whatever is needed , it is then a protein.",1
70,12832,"First in protein synthesis, The cells create proteins that regulate your tissues. Then, it helps you build strong bones.  Next, it regulates the genetic material inside your body. Final, the cells help digest the proteins inside your body.",0
71,12833,"After the mRNA leaves the nucleus, it travels to a ribosome. In the ribosome, the rRNA selects the opposite genes of the mRNA. The tRNA selects the anticodons, which are the opposite of the codons on the rRNA. Then the tRNA synthesizes the genes sequences into amino acids, and when the amino acids form together, they create a protein.",2
72,12834,the mRNA strand enters a ribosome tRNA brings an anticodon to the ribosome that matches the codon they form new amino acids they are connected and form new DNA,1
73,12835,"The mRNA goes to the ribosome and puts the sequence onto the tRNA, which then transcribes the sequence onto a type of RNA that has different sequences of 3 that each have a different amino acids on them, which form proteins when they are all linked together from the tRNA sequence.",1
74,12836,mRNA goes to the tRNA and some how gets amino acids and codons to make energy so that proteins can be made to give the body the stuff it needs.,0
75,12837, mRNA attaches to an enzyme.  tRNA comes and attaches to the mRNA.  tRNA translates the mRNA into a DNA sequence.  This DNA sequence is then made into a protein.,1
76,12838,First messenger RNA send a message to the nucleus to decode the RNA. The RNA is translated into DNA in the nucleus. It is added to a DNA strand in the Cytoplasm. That strand is sent to the Nucleus again.,0
77,12839,  mRNA leaves the nucleus.   mRNA splits apart   mRNA is read and coded.   Proteins are created.,1
78,12840,"Messenger RNA will leave the nucleus of a cell with a programmed code. Within this code is a sufficient supply of proteins and other sugars that will benefit our body. Messenger RNA makes its way out of the nucleus through pores, out into the cytoplasm. Within the cytoplasm, the mRNA meets up with other organelles within our cell. This mRNA then creates a copy of itself. This copy, too, holds information. The information this time can provide knowledge for the nucleus on what other sugars and proteins are needed, but also contains information for the ribosome on what proteins and sugars to create.",1
79,12841,eat protein,0
80,12842,"After mRNA leaves the nucleus, it is translated into an identical strand during translation. Then, it becomes tRNA. After that, it starts becoming a protein during protein synthase. Finally, it is made into a brand new protein.",0
81,12843,"Photosynth's, energy, oxygen, carbon dioxide",0
82,12844,"mRNA leaves the uncles and then embarks on four steps that help the body create the proteins capable of directing body functions. The four major steps are DNA replication, or Meiosis. It then travels to a ribosome, where the ribosome produces a protein called tRNA. The tRNA travels to a portion of the mRNA or a polypeptide bond. This bond folds and is sent to the Golgi Body where the polypeptide bond is then sent to the rest of the cell.",1
83,12845,it helps.,0
84,12846,it carries it across the nuclease were it is paired up with DNA to continue the strand.,0
85,12847,G is dividing DNA'S phase is replicating DNA. G2 is preparing for the M phase phase is division of the cells.,0
86,12848,"mRNA leaves the Nucleus. Then it moves to the Ribosome. When it gets to the Ribosome, mRNA decodes. Then it becomes tRNA.",1
87,12849,mRNA carries instructions from the nucleus for the amino acid sequence of a protein. tRNA transfers the information and rRNA carries the ribosomes.,0
88,12850,carries instructions for the amino acid sequence of a protein.,0
89,12851,Translocation Transcription,0
90,12852,After mRNA leaves the nucleus the mRNA goes and makes a copy of the DNA. After that tRNA makes the RNA code of the DNA. The mRNA takes the RNA code to the DNA and it attaches to make a new strained of DNA.,0
91,12853,"Translation goes to the tRNA, it tells what it needs to do.2-RNA processing3-Compbines these to copy the mRNA brought out of the nucleus with hydrogen bonds.4-the rRNA takes it out of the cell and places it where it is needed.",0
92,12854," The mRNA, after leaving the nucleus, then travels to the tRNA.  When the mRNA gets to the tRNA transcription happens and new codons are formed so as to match the mRNA's sequence.  The tRNA then takes that sequence to DNA where it is translated into the correct sequence for proteins.  The protein is made.",1
93,12855, cell lose2 cell respiration.3 cell cycle 4 cell mutation,0
94,12856,After leaving the nucleus the mRNA meets tRNA. The tRNA then codes to the codon on the mRNA.  The amino acid on the tRNA then forms to be the protein that matches the code. Then the amino acids form a chain.,1
95,12857, Translation will turn into protein.   Anaphase Occurs  Proteins go throughout the body  Metaphase occurs,0
96,12858,The DNA is transcribed. The DNA is translated. The DNA is copied. tRNA carries instructions from the nucleus for the amino acid sequence of a protein.,0
97,12859,"goes to the mitochondria, builds amino acids, finds a strand of DNA, and makes energy",0
98,12860,TRANSFER RNA,0
99,12861,interphase anaphase metaphase telophase,0
100,12862,The mRNA sends a message to the tRNA which then the rRNA will complete the process.,0
101,12863,the mRNA leaves the nucleus and the cell splits in half,0
102,12864,Collect the protein. Get the bad out. The ribosomes collect them. and then they transfer throughout the body.,0
103,12865,mRNA will change into tRNA and will leave amino acids. Then the amino acids will make a ribosome. mRNA will send a message to tRNA. Finally ribosomes will connect and make a bond,0
104,12866,The mRNA delivers the message to the membrane. Then the tRNA transfers the RNA. Then the Rana starts to form strands of new DNA. Ionic bonds are made between each protein.,0
105,12867,the cell membrane the cell wall and the inner core,0
106,12868," TRANSCRIPTION - THE MRNA STRAND GOES TO THE DNA STRAND TO REPLICATE IT AND CONVERT IT TO MRNA  TRANSLATION      A. THE RRNA CLEARS THE WAY FOR THE MRNA TO COME BACK TO THE NUCLEUS AND THE MRNA DOES         B. THE MRNA ATTACHES TO THE RIBOSOME      C. THE TRNA BRINGS OVER THE ANTICODON, WHICH CODES FOR AN AMINO ACID, WHICH FORMS A PROTEIN",1
107,12869, The mRNA transports the blah blah blah,0
108,12870,"mRNA meets tRNA and translation occurs, tRNA is read by a ribosome and forms anticodons making a chain of amino acids until it reaches a stop codon and a protein is formed.",2
109,12871,The strand breaks apart. A half of a strand is made for one part. The two half strands pair up.  The mRNA goes back into the nucleus.,0
110,12872,After mRNA leaves the nucleus it takes the information to the tRNA so it can transfer the information for the amino acid sequence. The next step is the tRNA makes the amino acid sequence. After that the rRNA gets rid of whatever is left and the ribosomes make more. The last step is the mRNA leaves the cell and goes to another one to do the same steps again.,1
111,12873,Four major steps are proteins breaking down with the help of enzymes.,0
112,12874,mRNA gRNA rRNA tRNA,0
113,12875,it is then sent out to send the message to the tRNA and then tRNA makes the copy of the 3 segment. and then it is copied again an then it is used/.,0
114,12876,"Starting with mRNA leaving the nucleus, protein synthesis goes from rRNA to RNA to DNA to Protein.",0
