,id,response,true_score
420,13185,"The mRNA goes to the rRNA to get the code sequence read and the then decoded.  The rRNA sends the tRNA to get its match to the other half.  A-T, G-C ",1
421,13186, When a plant is dying. When a plant is being reproduced. When a plant is being born. When a plant is growing.,0
422,13187,mRNA leaves the nucleus. Then mRNA is transferred to tRNA. Once data is receive it transforms the RNA in the Cell Membrane,0
423,13188,"The mRNA leave the nucleus, then it go to the cytoplasm. Next, amino acids attached the mRNA. Last, mRNA is full with amino acids, then it break off the mRNA.",0
424,13189,First the mRNA gets the message from the nucleus. Second the mRNA transfers the message to the amino acids. Third the amino acids copy the message. Fourth the new DNA is made,0
425,13190,the mRNA  takes vacuoles,0
426,13191,"In protein synthesis mRNA leaves the nucleus, then goes to the ribosomes, the mRNA tells the ribosome how to make the protein, then the protein in created.",1
427,13192,tRNA translates the strand of DNA into a more readable form rRNA reads the strand and makes more from it,0
428,13193,ANAPHASE   INTERPHASE METAPHASE PROPHASE,0
429,13194,After the mRNA got manufactured. The DNA that is exposed to Nucleotide bases will pair up with the Ribosomes and then it will be the tRNA and by that they will produced proteins and that happens inside the cytoplasm.,0
430,13195,"In protein synthesis, one major step starts when mRNA leaves the nucleus through the  nuclear pores carrying the information needed to make the proteins. It then enters a ribosome. This is because this is where proteins are made. The third thing is that the mRNA sequence pairs up into pairs of three, making amino acids. The last step is that the amino acid codes make the proteins needed.",3
431,13196,The DNA connects to the mRNA. The mRNA goes throughout the body sending the message to the parts.,0
432,13197, mRNA changing into tRNA2 tRNA being replicated thus changing into rRNA3 rRNA being it groups of three that are key like structures4 The key like structures turning into proteins,0
433,13198,Then tRNA comes to read the mRNA. Then they follow the directions of mRNA. next they get into there sequence.,0
434,13199,"TRANSLATION,",0
435,13200,RNA would leave then it would come DNA you would want to know your DNA. Then tRNA. and rRNA.,0
436,13201, the mRNA is transported to the end of the chain2 the mRNA is mutated3 it is then moved out of the cell4 delivers the message,0
437,13202,Proteins enter the cell Proteins go to the ribosomes Proteins are turned into energy The energy made is used to perform everyday cell work,0
438,13203,The mRNA carries instructions from the nucleus for the amino acids of a protein.  The tRNA transfers the steps of the amino acids.,0
439,13204,"When mRNA leaves the nucleus, it changes to tRNA.  The tRNA then carries directions to the nucleus about how to assemble amino acids.  the amino acids are then assembled.  lastly, tRNA is changed into rRNA.",0
440,13205,"it will move through the cell, collect things from each part of the cell, get rid of things it don't need, and turn in to RNA",0
441,13206,mRNA leaves the nucleus to deliver the genetic information to the tRNA. The tRNA then transfers it to the ribosomes. It then goes back and gets more. The rRNA links all of the information together.,0
442,13207,"  First the mRNA is transcribed, and then it leaves the nucleus and enters the cytoplasm.   Second, the mRNA attaches to ribosomes.  The tRNA brings the correct codon to match with the mRNA.   Third, the codons attach and start to form a polypeptide chain.   Last, the tRNA will bring the last codon of the chain, called the stop codon.  This signals that the polypeptide chain is done forming, and then the chain will be released.",2
443,13208, translation2 matches up with DNA sequence3 transcription4 you get amino acid,0
444,13209, mRNA is copied  one strand is transcript into tRNA  a codon codes for a protien  the protein is put where the codon was,0
445,13210,"it leaves the uncles then spindle fibers attach. after they attach then nucleotides form, and then reproduce.",0
446,13211,the e four major steps in mRNA are the message getting to the messenger RNA and the  mRNA getting delivered to where it is supposed to go and the message getting to where it is supposed to go then action being taken.,0
447,13212,When mRNA leaves the nucleus it goes through transcription where the mRNA is recopied into a new stand. The mRNA has now done its job and the tRNA takes over. The tRNA carries away the new strand of RNA to a new location where it is then used as needed.,0
448,13213,mRNA leaves the nucleus. Rna leaves instructions for the amino acid sequence of a protein.,0
449,13214,"mRNA lives the nucleus, then it travels in the cytoplasm looking for a Ribosome. Ones it fiends the ribosome it goes in and rRNA takes control. rRNA puts the amino acids in the correct order. Then tRNA will bring the anticodons to finish making the protein.",1
450,13215,The second step is when the RNA is brought out to the ribosomes.  The third step is when the RNA is copied.  The RNA then is checked for mistakes.  Then finally the RNA gets sent out to deliver the 'message' to the cell.,0
451,13216,"In protein synthesis, step one is that mRNA uses the star codon to start reading the DNA strand. Second, it reads and makes a new strand. Third, it continuously adds one until it reaches the stop codon which is the fourth step.",1
452,13217,The four steps in protein synthesis would be:      mRNA leaves the nucleus     2 made into proteins     3 'Shipped' to rRNA     4 read and copied,0
453,13218,Becomes RNA and then goes into the ribosomes where it is then changed into protein,1
454,13219,The mRNA gets converted by the rRNA switching the Ts out with Us. When the rRNA conversion is done the tRNA come back through and convert it again also swapping the Ts for Us.,0
455,13220,"First the mRNA leaves the nucleus, Then it changes its code so it can get through. then it is transcribed back to its mRNA code so it can become protein.",0
456,13221,mRNA leaves the nucleus. The body tries to find the minerals they need. If those cant be found they use  photosynthesis to get the minerals The body finally makes the proteins it needs.,0
457,13222,all the a are changed to t,0
458,13223,anaphase-cell begins interphase-second stage metaphase-middle phase prophase-last stage,0
459,13224,mRNA leaves the nucleus and moves to the lysosome. The lysosome turns it into tRNA and it goes somewhere else,0
460,13225,"there's mRNA, tRNA, and other RNAs",0
461,13226,"Prophase, metaphase, anaphase, and telophase.",0
462,13227,The mRNA has info so it goes to the thing and that thing goes to the ribosome and the ribosome makes proteins. Then the process begins again.,0
463,13228, transcription starts as soon as the mRNA leaves the nucleus2 the mRNA reaches the ribosomes and translation begins3 the tRNA goes and gets the necessary enzymes for making the proteins4 the tRNA returns and the proteins are made,1
464,13229, mRNA leaves the nucleus mRNA transfers message to tRNA tRNA gives off message to rRNA rRNA gives message to body,0
465,13230,The mRNA leaves the nucleus and goes to the ribosome. Their nucleotides are added to the sequence. Next the sequence is sent to the Golgi Apparatus where the protein is packaged for sending. The packaged protein is then sent to the mitochondria for use.,1
466,13231,mRNA sends a message. then rRNA goes through a process with amino acids attached at the bottom. once they go through this process tRNA occurs to make proteins for protein synthesis.,0
467,13232,transcription - the RNAs make a double copy translation - the tRNAs copy overcarries instructions from the nucleus for the amino acid sequence of a protein,0
468,13233,anaphase metaphase telophase,0
469,13234,"The mRNA goes to a ribosome where it attaches to the P-site. tRNA match their anticodons to the respective codons of the portion of the mRNA strand in the P-site. After matching, the mRNA moves so that a new segment is in the P-site and the old segment is in the A-site. The amino acids connected to the tRNA that match up with the mRNA codons create peptide bonds and create a protein.",2
470,13235,"As the mRNA leaves the nucleus, it iks decoded into an amino acid. After that, the peptide bond between the stand of DNA starts to unravel. From there, a new strand is substituted in. The last step is when a peptide bond binds the strand back together and it is ready to be used.",1
471,13236,The mRNA travels to a ribosome. Translation occurs and tRNA attaches the anticodons to the mRNA that correspond with it. On the other end of the tRNA is the amino acid. The amino acids join together and detach from the tRNA and become a protein.,3
472,13237,it leaves and finds a host then it injects a die into it and it dies then the host produces more mRNA and then it leaves the nucleus again,0
473,13238,Trans- something.,0
