,id,response,true_score
120,12883,extracting the cell. Dividing the cells in and celles begin to mutate process complete,0
121,12884,"Photosynthesis, cell exchange, membrane reduction, and homeostasis",0
122,12885,First after mRNA leaves it is transferred to tRNA. Then tRNA transfers the information to the nucleus. The nucleus then carries out the action that needed to take place inside the cell. So it all starts with mRNA in order to get information to the nucleus for the function to be carried out.,0
123,12887,"The process starts out with the mRNA leaving the nucleus. The ribosomes in the cell are what makes the proteins. The mRNA attaches to a ribosome. The tRNA in the cell brings the materials needed to create protein to the mRNA. The tRNA can only get one material. Dehydration synthesis begins to join the parts together, making a protein.",1
124,12888,"The mRNA replicates the strand of DNA, making an exact copy of it. Then it leaves the nucleus and is cut into sections of three. Then, they are 'read.' These deciphered mRNA are then changed into amino acids. The amino acids make proteins.",1
125,12889," The translation process starts which decodes the mRNA message.2 Then the tRNA transfers that decoded message of the amino acid sequence.3 Next, the amino acid sequence goes through transcription.4 The protein is assembled on a ribosome.",1
126,12890," The mRNA created in the nucleus leaves the nuclear membrane and goes into the cytoplasm.   The mRNA is found by a ribosome. The two then lock in with one another.   tRNA brings anticodons to the ribosome. The organelle will read the anticodon and match it with the proper codon on the mRNA. This matchup causes a certain amino acid to form.   As this process continues through the entire length of the mRNA, a polypeptide is created.",2
127,12891,anaphase interphase telephase prophase,0
128,12892,"mRNA transfer, new condonement",0
129,12893,mRNA leaves the cell. it goes to were it is told. it does its work. Then it returns the were it came from.,0
130,12894,Starts of with the cell has to have an unwanted thing or damaged organelle inside of it. Then it has to have the lysosome come and eat these particles Then it starts to synthesis it. When it's done it gives off the energy to the rest of the cell.,0
131,12895,"After the mRNA leaves the nucleus it travels to the ribosomes. It is a single strand, so tRNA comes with its codons that attach to the mRNA in specific ways. It first has to find AUG to start. The rRNA then attaches to the mRNA and creates the site to where the codons can attach to the mRNA and create proteins. As it creates the proteins, the proteins are linked to form a polypeptide chain. The polypeptide breaks loose when it reaches a stop codon.",3
132,12896,mRNA goes and gives the coded message to tRNA and tRNA then decodes the message goes and finds a protein and gives the protein the message and the protein is then made.,1
133,12897,Carries instructions from the nucleus from the amino acid sequence of a protein. I'm  not sure about the other ones.,0
134,12898,When mRNA leaves nucleus carries instructions for the DNA to begin protein synthesis,0
135,12899,The proteins duplicate The proteins move to the new cell The proteins respond in the new cell The proteins make new proteins,0
136,12900,"First, mRNA goes through transcription, translation, and something else I don't remember",0
