,id,response,true_score
480,13245,mRNA will leave the nucleus carrying the coding for the protein from the DNA. It will place itself in the cytoplasm waiting for the matching amino acids to connect. The tRNA will bring the attracted amino acids to the mRNA and place them in the correct spot on the sequence. Then the enzyme will come and create the protein using the code that the amino acids made from mRNA.,1
481,13246,After leaving the cell. mRNA then goes and copies itself . Then the mRNA goes and finds another stand of RNA. The original mRNA goes back into the cell and hooks up with a new stand of RNA.,0
482,13247,"sugar,",0
483,13248,First it stores the protein. Second it moves the protein. Third it uses the protein to increase muscle. Finally it dissolves the remaining protein.,0
484,13249, The mRNA transfers information to the amino acids  Makes a copy of one strand of the DNA  Tells the tRNA what to do  Builds more nitrogen bases,0
485,13250,The mRNA is matched with other nucleotides once it is out of the nuclease then three nucleotides form a codon which then creates an anti-codon and then the codon codes for an amino acid and then the amino acids then make the protein by the amino acids adjoining together.,2
486,13251,"First, mRNA receives a copy of the amino acid codon. Then the mRNA transfers that copy and reads the copy. It is then starting the process of making the protein. When the copy has been transferred and read and made, then the protein is made when the stop codon is passed and the process just keeps repeating after that.",1
487,13252,"mRNA will exit through the nucleus and travel to possible ribosomes that are nearby. tRNA will come with codons that will now attach themselves to the mRNA in a certain way. It first must seek the AUG which is the start codon. The rRNA will attach to the mRNA and create an area to where the codons can attach to the mRNA and create their own proteins. As proteins are forms, they are linked to form a polypeptide chain. This breaks down loose when reaching of a stop codon occurs.",3
488,13253,"The messenger RNA  mRNA leaves the nucleus with the 'code' for the proteins needed. The tRNA transcribes this code. Then, the tRNA brings this code to ribosomes. The ribosomes create the needed proteins.",0
489,13255,The first step is finding the nucleus. The second step is emerging with a cell. The third step is combined with the cell. The fourth step add to the protein.,0
490,13256, The mRNA moves out of the nucleus.  Next the mRNA then goes to its autosome.,0
491,13257,"mRNA divides, mRNA  becomes two new ones.",0
492,13258,"mRNA leaves the nucleus, it is copied in a lysosome, then a protein chain is created that matches the sequence.",0
493,13259,"Proteins have sequences that have A, G, C, and T. These codons have counter partners. For example A goes to T and C goes to G.",0
494,13260,The mRNA goes and gets coded to join the DNA strand.,0
495,13261,Process the cell,0
496,13262,interphase metaphase anaphase propahse,0
497,13263,the mRNA leaves the nuclease and tracks down the ribosomes and then attaches to it then goes and copies the DNA,1
498,13264,"The four major parts involved with protein synthesis, are the mitochondria, the endoplasmic reticulum, and lysosomes.  These are all involved with protein synthesis.",0
499,13265,mRNA takes protein to the DNA which turns it into tRNA which takes it along the DNA to make amino acids. Once the RNA has combined with the DNA it makes a codon or an amino acid.,0
500,13266,"mRNA ,which is initially DNA, from the nucleus travels to  the endoplasmic reticulum where it is used to make protein.",1
501,13267,Then it attaches on to the tRNA. Then goes through the codons.,0
502,13268,tRNA rRNA sRNA xRNA,0
503,13269,to get nutrition and get healthy things for the body,0
504,13270,The protein,0
505,13271,"There is anaphase, prophase, metaphase, and telophase.",0
506,13272,Sugar Water mineral products,0
