,id,response,true_score
180,12944,"Four major steps involved in protein synthesis are how they are produced, when they are produced, why they are produced and what you can do to prevent them from being used.",0
181,12945,"leaving nucleus, cellular transportation, and cell division.",0
182,12946,"The go through the nucleus, then leave. Help the body during the way. Fix what ever needs to be fixed. Then go out through the nucleus, and goes to other parts of the body.",0
183,12947, mRNA leaves the nucleus  The mRNA strand is decoded and turned into a second code  That code is then decoded and turned into protein,1
184,12948,The protein gets packaged up into little groups. The protein is sent to another part of the cell.,0
185,12949, The cell makes messenger RNA.  The mRNA changes to tRNA.  The cell sends the tRNA out of the cell into the cytoplasm.  The tRNA goes into the ribosomes where protein will be created.,0
186,12950,"First, the proteins are removed and the ribosomes do something to them.",0
187,12951, The protein starts to develop.   The protein starts to expand.   The protein is starting to move around in the cell.    The protein is starting to go through interphase and reproduce.,0
188,12952," Finds amino acids  Hooks on  Forms peptide bond with previous mRNA that is already on the amino acid previous mRNA peels off leaving the newer one there5.a third mRNA comes, hooks on, forms peptide bond and the initial one leaves to go retrieve more protein-building instructions",0
189,12953,"tRNA, sRNA, gRNA, and rRNA",0
190,12954,The mRNA leaves the nucleus and then duplicated and separated.,0
191,12955,mRNA carries the instructions from the nucleus and gives to it to the amino acid sequence for proteins.,0
192,12956,mRNA gives instructions on which how to make the DNA. tRNA transfers the strands to build the DNA. Then the rRNA hooks up the codons to build the DNA.,0
193,12957,mRNA sends the information of the protein tRNA transfers the parts RNA builds the protein with amino acids Protein is made,0
194,12958,"prophase, anaphase, interphase, metaphase",0
195,12959,First mRNA leaves the nucleus. Then tRNA appears and creates covalent bonds for the mRNA.,0
196,12960,mRNA leaves nucleus mRNA go to ribosomes,1
197,12961,"First the proteins open up, then the substance prepares to leave the cell, next the substance leaves the cell, finally the proteins close back up.",0
198,12962,It moves through the body.,0
199,12963,Translation,0
200,12964,The first step to protein synthesis is mRNA leaves the cell. The second step is it gets more protein. The third step is it brings the protein back for the cell. The last step on protein mRNA is it puts the protein back into the cell for it to function.,0
